journals/tcs,Electronic Notes in Theoretical Computer Science,C,https://dblp.uni-trier.de/db/journals/tcs
journals/etai,Electronic Transactions on Artificial Intelligence,C,https://dblp.uni-trier.de/db/journals/etai
journals/ese,Empirical Software Engineering: an international journal,A,https://dblp.uni-trier.de/db/journals/ese
journals/eaai,Engineering Applications of Artificial Intelligence,B,https://dblp.uni-trier.de/db/journals/eaai
journals/eis,Enterprise Information Systems,C,https://dblp.uni-trier.de/db/journals/eis
journals/emisaij,Enterprise Modelling and Information Systems Architectures,C,https://dblp.uni-trier.de/db/journals/emisaij
journals/eor,European Journal of Operational Research,A,https://dblp.uni-trier.de/db/journals/eor
journals/ec,Evolutionary Computation,A,https://dblp.uni-trier.de/db/journals/ec
journals/evi,Evolutionary Intelligence,C,https://dblp.uni-trier.de/db/journals/evi
journals/eswa,Expert Systems with Applications,B,https://dblp.uni-trier.de/db/journals/eswa
journals/es,Expert Systems: the journal of knowledge engineering,C,https://dblp.uni-trier.de/db/journals/es
journals/fac,Formal Aspects of Computing: applicable formal methods,B,https://dblp.uni-trier.de/db/journals/fac
journals/fmsd,Formal Methods in System Design,A,https://dblp.uni-trier.de/db/journals/fmsd
journals/ftir,Foundations and Trends in Information Retrieval,Survey/review,https://dblp.uni-trier.de/db/journals/ftir
journals/fttcs,Foundations and Trends in Theoretical Computer Science,survey/review journal,https://dblp.uni-trier.de/db/journals/fttcs
journals/focm,Foundations of Computational Mathematics,A,https://dblp.uni-trier.de/db/journals/focm
journals/fuin,Fundamenta Informaticae,B,https://dblp.uni-trier.de/db/journals/fuin
journals/fgcs,"Future Generation Computer Systems: the international journal of grid computing: theory, methods and applications",A,https://dblp.uni-trier.de/db/journals/fgcs
journals/fss,Fuzzy Sets and Systems,A,https://dblp.uni-trier.de/db/journals/fss
journals/cvgip,Graphical Models,C,https://dblp.uni-trier.de/db/journals/cvgip
journals/gc,Graphs and Combinatorics,B,https://dblp.uni-trier.de/db/journals/gc
journals/hij,Health Informatics Journal,C,https://dblp.uni-trier.de/db/journals/hij
journals/lisp,Higher Order and Symbolic Computation,C,https://dblp.uni-trier.de/db/journals/lisp
journals/hhci,Human-Computer Interaction,A,https://dblp.uni-trier.de/db/journals/hhci
journals/ibis,IBIS,B,https://dblp.uni-trier.de/db/journals/ibis
journals/ibmrd,IBM Journal of Research and Development,B,https://dblp.uni-trier.de/db/journals/ibmrd
journals/tcbb,IEEE - ACM Transactions on Computational Biology and Bioinformatics,C,https://dblp.uni-trier.de/db/journals/tcbb
journals/ton,IEEE ACM Transactions on Networking,A*,https://dblp.uni-trier.de/db/journals/ton
journals/annals,IEEE Annals of the History of Computing,Survey review,https://dblp.uni-trier.de/db/journals/annals
journals/cga,IEEE Computer Graphics and Applications,B,https://dblp.uni-trier.de/db/journals/cga
journals/dsonline,IEEE Distributed Systems Online,C,https://dblp.uni-trier.de/db/journals/dsonline
journals/expert,IEEE Intelligent Systems,A,https://dblp.uni-trier.de/db/journals/expert
journals/internet,IEEE Internet Computing,B,https://dblp.uni-trier.de/db/journals/internet
journals/titb,IEEE Journal of Biomedical and Health Informatics (was IEEE Transactions on Information Technology in Biomedicine),A*,https://dblp.uni-trier.de/db/journals/titb
journals/ieeemm,IEEE MultiMedia Magazine,C,https://dblp.uni-trier.de/db/journals/ieeemm
journals/pervasive,IEEE Pervasive Computing,A,https://dblp.uni-trier.de/db/journals/pervasive
journals/ram,IEEE Robotics and Automation magazine,B,https://dblp.uni-trier.de/db/journals/ram
journals/ieeesp,IEEE Security and Privacy Magazine,B,https://dblp.uni-trier.de/db/journals/ieeesp
journals/software,IEEE Software,B,https://dblp.uni-trier.de/db/journals/software
journals/tc,IEEE Transactions on Computers,A*,https://dblp.uni-trier.de/db/journals/tc
journals/tdsc,IEEE Transactions on Dependable and Secure Computing,A,https://dblp.uni-trier.de/db/journals/tdsc
journals/tec,IEEE Transactions on Evolutionary Computation,A*,https://dblp.uni-trier.de/db/journals/tec
journals/tfs,IEEE Transactions on Fuzzy Systems,A*,https://dblp.uni-trier.de/db/journals/tfs
journals/tsmc,"IEEE Transactions on Human-Machine Systems (was IEEE Transactions on Systems, Man and Cybernetics, Part C: Applications and Reviews)",B,https://dblp.uni-trier.de/db/journals/tsmc
journals/tip,IEEE Transactions on Image Processing,A*,https://dblp.uni-trier.de/db/journals/tip
journals/tifs,IEEE Transactions on Information Forensics and Security,A,https://dblp.uni-trier.de/db/journals/tifs
journals/tit,IEEE Transactions on Information Theory,A*,https://dblp.uni-trier.de/db/journals/tit
journals/tkde,IEEE Transactions on Knowledge and Data Engineering,A*,https://dblp.uni-trier.de/db/journals/tkde
journals/tmi,IEEE Transactions on Medical Imaging,A*,https://dblp.uni-trier.de/db/journals/tmi
journals/tmc,IEEE Transactions on Mobile Computing,A*,https://dblp.uni-trier.de/db/journals/tmc
